TweetID	Annotation
469741922337456128	No
469745055906152448	No
469800261813542912	No
469804390447325184	No
469812855668109314	No
469815266508275712	No
469840043826483200	No
469868616024743937	No
469872176817266689	No
469920601008652288	No
469940010826080256	No
469955126128828417	No
469973482600558592	No
470011252455272448	No
470026518601551872	No
470082338823479297	No
470122808820125697	No
470129595862487040	No
470163333413605376	No
470172802008350720	No
470172957105745920	No
470176081342115840	No
470193703857160192	No
470203445140410368	No
470219653336563712	No
470220003263131648	No
470220601467346944	No
470231345579708416	No
470236535678586880	No
470243643672891392	No
470251632664805376	No
470271190276534272	No
470278683135975424	No
470287984907255808	No
470305580549042176	No
470307845947531264	No
470316110840332288	No
470323505360551936	No
470344127176273920	Yes
470377911833214977	No
470377911975809024	No
470377912135217152	No
470377912277823488	No
470377912462368770	No
470388270854320128	No
470398462349950976	No
470402270966730753	No
470427040517472256	No
470443227313876992	No
470476604876288000	No
470518397202341888	No
470525216909582336	No
470531525336104960	No
470559679467495424	No
470560272739237889	No
470566203581538304	No
470571230547148801	No
470575156675768320	No
470575795220799488	No
470575894751608832	No
470576529383374848	No
470595256980078594	No
470596009815703552	No
470601288170741760	No
470608974602317824	No
470627915500388352	No
470633846807855104	No
470637312423231488	No
470665710730240001	No
470666160141520896	No
470689481012416512	No
470700956444000256	No
470703385503870976	No
470703789516017664	No
470711842646806530	No
470758117933072384	No
470794748257902592	No
470795870649085952	No
470817658792067073	No
470847603643809792	No
470851700509900800	No
470896663088082944	No
470941319049666560	No
470950694217064448	No
470952308634058753	No
470959839989227520	No
470970925140418561	No
470973705934618624	No
470999804055920640	No
471007114786525184	No
471029616032100352	No
471044494562197505	No
471045435134865408	No
471046529395208192	No
471051343848038400	No
471074059174703104	No
471083290372603905	No
471094859198369792	No
471098324721094656	No
471104104174211073	No
471110629278097409	No
471111210776014848	No
471124792280875008	No
471139837291274240	No
471151232640614400	No
471154236580196352	No
471163656827600896	No
471170547297320960	No
471187852462948352	No
471194008858144768	No
471219404341276672	No
471232613022433280	No
471234159550414848	No
471234450022760449	No
471268454792957952	No
471304633961689089	No
471317797965164545	Yes
471324819372662785	No
471324921239322624	No
471325619419369472	No
471330130229354498	No
471333408283828224	No
471334062981148672	No
471348377696100352	No
471363595457269760	No
471372448970330112	No
471381042062831616	No
471384153318260736	Yes
471391493291515904	No
471392358396076032	No
471398217771274241	No
471401397196713986	No
471407823172415488	No
471422572618186757	No
471458898722181120	No
471465719230894080	No
471475416717205504	No
471475941458599936	No
471482253365624833	No
471489360391835648	No
471491470802046976	No
471502617164914689	No
471506720121192448	No
471554544217120768	No
471591470147715072	No
471619179888799744	No
471619885580439552	No
471650931868962816	No
471657629790765056	No
471664389276581888	No
471690067933949953	No
471694881338175488	No
471701203853004800	No
471712270809317377	No
471716145930964992	No
471732079193911296	No
471738107944255492	No
471747587385466880	No
471755009151873024	No
