Tweet Id	Annotation
642381474440851457	No
639262416442916864	No
644313579965935617	No
640126427719946240	Yes
637132499827580928	No
640897363733819394	No
642544259044806656	No
639526522374766592	Yes
639717290448044033	Yes
639748483474432000	No
641097419883708416	Yes
645744806648545280	Yes
639897929344380928	No
639752541576671232	No
642094998117294080	Yes
645775880921423872	No
639277509301944320	Yes
641706250363883520	Yes
638547409774247937	Yes
643602920513081344	No
640422595926425600	No
646315290897346560	No
642170259097554944	No
640908964830515200	No
636369213876146176	Yes
644312672276750336	No
642551282503450625	No
642818176535793664	No
638140495336722432	No
640740040423919616	No
643988319873839104	No
643876371337453570	No
639526005556690944	No
641136904289718272	No
637604449880571904	No
641746167706087424	No
640932529193754625	No
639295312155176960	No
641429520638214144	No
649001536765435904	No
644587239931006978	No
645846426048663552	No
641077334607458304	No
639215734455799809	No
637467630417350656	Yes
645752021878996992	Yes
642086784751509504	No
639264677331996672	No
648432417871495168	No
639890629074513920	No
636665760971137024	Yes
637404267972657152	No
641202919799328768	No
640297568585453568	No
638180756552978433	No
643262491900837888	No
641753692736212992	No
646627179464273920	No
639238462244306944	No
638558479397994496	No
641421291837333504	No
640867891307520000	No
639325052551348225	No
646650183648874496	No
641606170067759104	No
646318510939992065	No
643944621127561220	No
641158807880638464	No
639439137716613124	No
641075903246827521	No
641226601670291456	Yes
638779982274293760	No
646782497187954688	Yes
639843551480795136	No
641730087893598208	No
638588603388547072	Yes
639309541792833536	Yes
642735905904529408	No
644449223602270209	No
644004739953258496	No
639239867961110528	No
638904917164322817	Yes
642013290915364864	No
643983789706772480	No
640754925283241984	Yes
640362656461815808	No
647245514514284544	Yes
637109117111283712	No
638207663092928512	No
637864831425490944	No
639987146728845313	No
637454750691164160	No
639107267678240768	No
643718704518299649	Yes
643572793741824001	No
643970766351036416	No
648636983997255680	No
642554788379410432	No
639194593712558081	Yes
641062862811754501	No
637101069470969856	Yes
639238081275686912	No
642514818046500864	No
640535628212490240	No
645447651161436160	No
647454017036099584	No
636962057934532609	Yes
641374171382042624	Yes
643248247922790400	No
639321842931494912	No
638765701357019136	No
642547354525167616	Yes
644060572745527296	No
643838281596149760	No
640811946883739648	No
640302639562010624	No
642606905374846976	No
640720514248343552	No
643761994470957056	No
639303595377213440	No
638471196510679040	No
643489021478477824	No
638491497789177856	No
640968228823543809	No
644238126148251648	No
641761847213969408	No
637966738697523200	No
639295030440689664	No
644415257096531968	Yes
642211377893928960	No
640889756587528192	No
639798052342136832	No
638487188817211392	Yes
638626868099461120	No
640481801325035520	No
648528039014477824	No
640540704997949440	No
640293985521664000	No
636152219721723905	No
642830569978523648	No
636206726010773504	Yes
644673175545098240	No
643526255414018048	No
640960653625176064	No
637849237074546688	No
646605388792463360	No
640668527658172416	No
643577881461923844	No
642236793019105280	No
642683691702034432	No
640679596522803200	No
640967902485737476	No
646907591981797376	No
638735843260284933	No
641135039359533057	Yes
640545859206316032	No
641437790610288641	No
637701096736059392	No
645056273193504768	No
645282154671435776	Yes
639516507945332736	No
646980131706286080	No
643988416028278786	No
640705431539744769	No
636388897279332352	No
644026744547213312	Yes
641017635400978432	No
637871266960158720	Yes
639272478674698240	Yes
638494870269652992	No
644814125256867840	No
643268448911552512	No
643587608862457856	No
644316964031041536	No
639551739591553024	No
639853676987817988	No
641359885565751296	No
639839779685826564	No
641084769095303168	No
639142769710211072	No
637098047550324736	Yes
644600037058682880	No
639147973285314561	No
640308690604720128	No
641397717055336448	Yes
641946951391555584	Yes
639939068969775104	No
639307001533587456	No
643308552329801728	No
640342106683404289	Yes
640313438053507072	No
638548354520227840	Yes
642024521659232257	No
639351133371154434	Yes
647233483060867072	No
640167300130295813	No
636737433179062273	No
643769499833896960	No
639860732620881920	No
641433288280662016	No
640069012131414016	No
642603646752919553	No
643956425929170944	No
643807586593050624	No
640891570473037824	No
638088693559877633	No
640009009911758848	Yes
640755726055436288	No
642087862826061824	No
642777356306915328	Yes
640365426589888512	No
644309081600036864	No
646027504881389568	No
643916918143873024	No
638802285338972163	No
643653514112188418	No
641918749503688704	No
638824796298412033	No
639265154086084608	Yes
640057672205774848	No
642817239817801730	No
641515951662325760	Yes
639244416880889857	Yes
642493873235828737	No
640422575261249536	No
637852826572615680	Yes
639456873154932736	No
639331146220736513	No
644017504776495104	No
640199167919452160	No
645780552319156224	No
644023194001670144	No
636713211966922752	Yes
647854596191350784	Yes
644054463729168384	No
639435062421901312	No
640731681658265601	No
639488566838620164	No
636774238729453568	No
639684452558356480	No
643806216796241922	No
638097743408295936	No
640777990029250561	Yes
639933484111392768	No
640587623287930880	No
639666474458685440	No
644024450929721344	No
641602080591888384	No
639277343723261952	No
638070882519371776	Yes
644655815769649152	No
645789857499906048	Yes
640570209389137920	No
642564325966770176	No
646777288386674688	No
638883900274704384	Yes
644313227573264384	No
639297730590867460	No
639279165905219586	No
637973721857175556	No
641417694135250945	No
641788945349611522	No
639374347841343488	No
639243501826363392	Yes
641639977210769408	Yes
644589004613009409	No
638450274584014848	Yes
641314223960797185	No
638831890552614912	Yes
646831616485126144	No
638124961425674240	No
635869292932804608	Yes
642453119540965376	No
640001204932726784	No
639319600983740416	No
638966675828686848	Yes
641299479228891136	No
636642650909769728	No
643976841926078464	No
639260779598884864	No
639952891554328576	No
640192585542311936	No
640330117927927808	No
646336227122089984	No
638592136196157441	Yes
644037242147569664	No
646979114855825409	Yes
643585893010419712	No
644487650892738560	No
639039149954088960	No
639455599806291968	Yes
642534432088457216	No
639324957336428544	No
639643055486857216	Yes
637449410880892928	No
640300530867306496	No
644505236938190849	No
636261076577964032	Yes
639044175699161089	Yes
639173683219693568	No
636832043184205825	No
642048238955065344	No
640720586826715136	No
643942842029744128	No
640914616738942976	No
649094221136330752	No
636167572359135232	No
642638916156157952	No
638829336854794241	No
644845187382939648	No
648648570300706817	No
641472922402562048	Yes
646733395633008640	No
641573325253287936	No
639289712985944064	No
640308217613012992	No
641411997658124288	No
644445952204402688	Yes
642573585664466944	No
640230794502385664	No
640888461759610880	No
636052780029976577	No
641501110595883009	Yes
643847029819592704	No
639226855300579328	Yes
643590645110730756	No
636001530555072513	Yes
639239757554405376	No
641271615410442241	No
642114159157641217	No
638856731070722048	Yes
641569565017776128	Yes
636848980660502528	Yes
639928940476387328	No
643797917107650560	No
637820309127589889	No
637420062148796416	No
640363977801777152	No
639105688304766976	No
639326525179891712	No
637008035538436096	Yes
638526114931957760	No
640610085622951940	No
640002255551397889	No
638585739375042560	No
642561477031936000	Yes
643941068740784128	No
643702291434831873	No
644314323465076736	No
641398155469152256	No
640478434477633536	No
638536945950298113	No
638695678324121600	No
636059611871715328	No
644084358677200896	Yes
640395745334464512	No
643778430799056896	No
640275855877517313	No
645096202594217984	No
640169294572032000	No
646187769602043905	No
642092225237639168	No
638941743757586432	No
638784558939402240	Yes
640292151528681472	No
640140721064923136	No
639475051398582272	No
639944131565998080	No
643465605438423040	No
643817628545515520	No
639804638758338560	Yes
642532185061367808	No
639914359150383104	No
641319922489016320	No
640785216307601408	No
639247180256149504	No
637749508839833600	No
643581992383086592	No
641385135368179713	No
648900078632071168	Yes
643531403125227521	No
638551795627720704	No
641951066083446784	No
641325993785982976	No
647134363524575233	No
641036251886391296	Yes
640526576937861120	No
643979938782121984	Yes
638524477257699329	No
643480167008985088	No
638713376391233536	No
639796624248541186	No
639552667467935744	No
638201623118942209	No
643942164796305408	No
640421325669027840	No
640806282404872193	No
636025728602087424	Yes
640735717107310592	No
641339688620441601	No
636536028107440128	Yes
641034956421091328	Yes
638816450988281856	Yes
640882619677343744	No
641279445089812480	No
639299586473881604	No
644141779298689025	No
643378518030729216	Yes
644356967390035969	No
644314493397262336	No
639828123853418496	No
640044619540004864	No
639241892316717056	No
638440858690293760	No
644009433702359041	No
640952941088641024	No
644672852461903872	No
643784368721391616	Yes
639238039005343744	No
645507064035475456	No
639768356883701760	No
644989421511553024	Yes
641093481314697216	No
640937883159932928	Yes
639420440503578624	No
639982153489477632	No
641036548511821824	Yes
638790064756129792	No
645781624676704256	No
640587156189257728	No
644625025119690752	No
639781001393274880	No
638571018030813184	No
643831038314180608	No
641447868541243392	No
641859933143756801	No
640359321906212865	No
641756182890156032	No
640696938048921600	No
644341096084934656	No
641177551138746368	Yes
641283982479491072	No
641425968414920704	No
641691490759012356	Yes
639046413033320448	No
638107620989992960	No
639849097751580672	No
639419009428004865	No
637462373154975744	No
639227235686330368	Yes
643409303072866304	No
644927759685324800	No
643234359978295296	No
646758890365956097	Yes
639407791212482560	No
639069635552354304	Yes
641161729989197824	No
641076487303487488	No
638081819938676737	No
641735117300367361	No
646488522401181696	No
643820457032945664	No
639106724276736000	No
642102595759251456	Yes
646766790991847428	No
639971748557942785	No
640202386984845313	No
641779972823248901	Yes
641296347803611136	No
638009429582065665	Yes
644604198613422080	No
638699062326226944	No
638467670275424257	No
642029462133956608	No
638711230337683458	No
643934946323656705	No
642475688243675136	No
638713519135981568	No
643220652892094464	No
635684858166030336	No
641844726828769280	Yes
639687861743316992	No
641318478071382017	No
644656813321940992	No
639318220336295936	No
643555326952898560	No
645327013084037120	No
643675266540306433	No
639965458599309312	No
641899709913821184	No
640586576267882496	No
643614460788105216	No
639354584385785856	No
643800889757696000	Yes
641490898606555136	No
641814210167443457	No
643474386473852928	No
638715796781420544	No
638445126403137537	Yes
640754503789080576	No
639403616667873280	No
640011184859582464	Yes
640854227166760960	No
638728108388909056	No
647845039566159873	No
638882128315437056	No
646314976022540289	No
646260888874446848	No
645235783700512768	No
642450648038899712	No
639378795275776001	No
637229761010511872	Yes
640747450463055872	No
644124612255744000	No
645798737034518528	Yes
639233192533209088	Yes
643550543940571136	No
641049194522738688	No
649357803749015554	Yes
641997650783547398	Yes
640649586483171328	No
638478376131411968	No
644442987334889472	No
638579855773335552	Yes
639247360556703744	Yes
644483137100226561	No
638419071235719168	Yes
640519373107654656	No
640800986244616192	Yes
640769238630690817	No
641767620715352065	No
637075035560247296	No
639525869128654852	Yes
641136989819899904	No
644312316717064192	No
640020265892757504	No
643499966628032512	No
647284713170702337	No
639780700946722816	No
645365497370963968	No
638493765376708609	No
638794626825080833	No
644035838112755712	Yes
639091687793500160	Yes
639317998520639488	Yes
638728214274183168	No
641230985573498881	No
640550557875347456	No
643592591934627840	No
638552544415977472	No
638483789287583744	No
638615647455346688	No
642130801581293569	No
648394622121717760	No
638852771291234304	No
640809267742773249	No
640250601687908352	No
645080330798411776	No
639458160869310464	No
639907172105584640	No
639283252293824513	No
638325746885337088	No
643875220592427009	Yes
640908842457366528	No
637258570224898048	Yes
647610262321766400	No
642678444095053824	No
638423575259574272	No
640573759615692800	No
642409311801466880	No
640265814449516544	No
643244254760992768	No
642817446848630785	No
643681822480703488	No
638225205828030464	No
641428581462048768	No
646125824807206912	No
644561394105323521	No
638785859102355456	No
640181381948026880	No
639868485997195264	No
646597022733066240	No
638203337574191104	No
641538045469069312	No
643662446331228160	No
636500806393577473	No
643591497590292484	No
639248431400153088	No
646751741904580608	Yes
641280757474922497	No
644314358290321408	No
642556709114912768	No
639555109236551680	No
640896284556062720	No
642074232927555585	No
643807813941207040	No
636347495845642240	No
638531438686662656	No
640711277015343104	No
640600783961092096	No
643869664032989184	No
639360418348171264	No
636740284223758337	Yes
646017957831675904	Yes
642158045993242624	No
636385303054426112	Yes
642427555220353024	Yes
638835214655971330	No
639509036933742592	No
640179401443770368	No
644314651447140352	No
643983673327505408	No
640005559949783040	No
639633774708457472	No
646666159455117312	Yes
648540727203512320	No
642168716558340096	No
643987123599712256	No
640415901108432897	No
639277615187144704	No
636573152156454912	Yes
643600543273910277	No
642109972394954752	No
643572171537780736	Yes
643675224400101377	Yes
639183084085080064	No
644310302889218048	No
643820393610907648	No
640246056815464448	No
640724188416765953	No
642787426604314624	No
641109485566734336	No
642350517298069505	No
637173769790820352	Yes
639963421513924609	Yes
643541565315641345	No
639526635889422336	No
640555285686317056	Yes
642462842621435904	No
644399181126172672	Yes
639409179858485248	No
639645275154464768	No
641732852376276992	Yes
641736963834408960	No
640582656829358085	Yes
639310865435521024	No
638709783671869441	No
647533861782450176	Yes
640325682195730433	No
644018029118918656	No
638545322256412672	Yes
640566348268077056	Yes
638639687511482368	No
639779670016282624	No
639609224117379074	No
643845683141824512	No
643806869648224256	No
643561468978401280	No
639634496367796225	No
640757127439511552	No
639277451315671040	Yes
640731635911159808	Yes
639890024004218881	No
636050607002939392	Yes
640973100671234049	No
642529774225633280	No
644025005093818368	No
636432729987543040	Yes
641972941391945733	No
644871488739373056	No
638486535084576768	Yes
647557716060319744	Yes
639243624409116672	No
643719756403580928	No
644017069319557120	No
640732360200183808	No
636309294678302720	Yes
643617007020052480	Yes
639571298537050112	No
641410983307649024	Yes
643879051073990656	No
642661755097862145	No
642650266949582848	Yes
641282585205673984	No
642814840311033856	No
641235355887366144	No
641468315475570688	No
640885871064023040	No
638765636118679552	Yes
647203062004629504	No
638596347436765186	Yes
644927657356890112	No
646315165617647616	No
640887718919049220	No
647510423764275200	No
646447419824058368	No
641399988522758144	No
640473747200282624	No
643890741345849344	No
639230811032653824	No
643744928602783744	No
639760871485493248	No
639412513768099841	No
641815639775145984	No
641029344199090176	No
642555844429750273	Yes
644316022514798592	No
641579504985600000	Yes
643967734477389824	Yes
645426817176834048	No
642170180710170626	No
642502574915104768	No
640338687545356290	No
641086361529942016	No
643593570746634240	No
644311179268091904	No
640430741499850752	No
637262268099641348	No
644310041798045697	No
637260219928739840	Yes
635916091936645120	No
643719605370900480	No
639449233746038784	Yes
636077204829433856	Yes
644656831881613312	No
646457345472499717	No
636087163122151424	No
638939089488646144	No
644780410124152832	No
635664399517126656	Yes
647185002057310208	Yes
644552904528019456	Yes
645753345366319104	Yes
644138951767228418	No
643555039865372672	No
643949090066202624	Yes
648297935323594753	No
642468430256467969	No
643992957717053440	Yes
644398970375139329	No
639543968146059264	No
639696268080627712	No
643964448533778432	No
638437404232261632	Yes
639671397883748352	Yes
641423919224852480	No
636296584544653312	Yes
644089732947947520	No
639953427141758976	No
643900386948984832	Yes
649043340256677888	No
639864438523236352	No
646459679279874048	No
640267313397174273	Yes
637217521666555904	Yes
643928105078362114	No
640626188466167808	No
649024349022879744	No
643859081099395072	No
641809257885790208	Yes
643673664718704641	No
643284820311867392	Yes
648600102941003776	No
640364577461530624	Yes
638637423103111169	No
641456352443805696	No
643684085211107328	No
639304114602508289	Yes
639550436920438784	No
639915443461996544	Yes
636552578952744960	Yes
641983132506394624	No
641412189711036417	No
641475870079582208	No
637488583150972928	No
636093152730853376	No
641226984543141888	No
640707759764213760	No
637087938124345344	Yes
643849501757845506	No
644277376663162881	No
642631987551801344	Yes
640618523300073472	No
636239013356118016	No
638817165617967105	No
639245282090180608	No
636983119644651520	No
642188562415271936	No
639162506414456832	No
639263928980103168	No
645272065231192064	No
643837385541681152	No
643796625480118272	No
638605728354312192	No
644655518770814976	No
643636233449639936	Yes
641570500880175104	No
641045709584732160	No
641188070344163329	No
637509692852408320	No
637989567405105152	No
640841549828386816	No
644311080907472896	No
638596887906529281	Yes
645796084724449280	No
645714948857827328	Yes
639826424677818368	No
638497193645596672	Yes
636258864049094656	No
644287597976657925	Yes
640958567458058240	No
639240252872232960	No
638811918967406592	Yes
643258679010164736	No
641828297341579264	No
641734109119840256	No
641075363477504001	No
645284582141632512	No
643611051699896320	No
643967255957630976	Yes
643959096186531840	No
645200667506774016	Yes
643790485623074816	No
644313467269222400	No
641046860342390784	No
642777157895356416	No
640334992002949120	Yes
643960076743655424	No
646770121063694337	Yes
644168503361036288	No
639461821792026624	No
636366907516416000	Yes
636268081984208897	No
645025367099441152	No
640897333874393089	No
638591794159190016	Yes
641083083924615168	No
636736466060734464	Yes
641846543297941504	Yes
640329694311792640	No
644899017495810049	No
643518246365331456	No
646248070540345345	Yes
643985109658398720	Yes
638585738905407488	No
637372785946439680	No
639365580965998593	No
646770115808243712	No
639308816509632512	No
641447322358935553	No
640522345711575041	No
639255006793732096	No
639580163274108929	No
642504170516279296	No
643965270176825344	Yes
646187926670438400	No
643732352112263168	No
643770876190699520	Yes
638161553536081920	No
641320176189861888	No
644408578284064768	No
640771591396200448	Yes
637570560113922048	Yes
643897821461106688	No
639865635002937344	No
640642682319208452	No
640971080732012544	No
640377526917840897	Yes
638890731768164352	No
641122202973159424	Yes
639935342838067200	No
639244486623776768	No
642478791940550656	Yes
643612539717332992	No
644030071439671296	No
641083906960310272	Yes
643385603703214080	No
639245473912619010	No
640400623385616384	Yes
643864110296399873	No
638923204354899968	No
638633446303244288	No
638747271786569728	Yes
643571928490450944	No
645074889615912960	No
643976797755940864	Yes
636374403119382528	Yes
638756717384232960	Yes
639602113077755904	No
641763499086086144	No
636573538455949312	Yes
644314524649062400	No
644271402716131328	No
641998201466265600	No
640314672676274176	No
646974877899976704	Yes
645741877652799488	No
643687806741512192	No
644353189077057537	No
644693448084336640	No
644027838069235712	No
643606873329917952	No
641834397478486016	Yes
647613123608756224	Yes
640279943579107328	No
640730153946083328	No
642658507804700672	No
641427796376424448	No
637743862736420864	Yes
641422665643896832	No
638949509683412992	Yes
640871720023363584	No
645403534624690176	No
640646292469882880	No
638755700978528256	No
638549716981170176	Yes
638168380373991425	No
643947606142390273	No
639276941736984577	No
641658127788679168	Yes
637420833477128192	Yes
638046090705567744	No
639735485531721728	No
649064932496023552	No
642530542701965312	No
642543031636369408	No
643512684244271108	No
646317048121835520	Yes
643760528687505408	No
639936866330918912	Yes
636716420190109696	Yes
641209324379967488	Yes
646210701896253440	No
